report_date,contract_code,category,position_type,long,short,net,long_change,short_change,net_change,long_pct,short_pct
2026-02-13,F9BM,other_financial,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,F9BM,other_financial,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,F9BM,investment_firms,other,396367.0,3996714.0,-3600347.0,38046.0,-101110.0,139156.0,1.97,19.85
2026-02-13,F9BM,investment_funds,total,398232.0,93541.0,304691.0,-149272.0,57979.0,-207251.0,1.98,0.46
2026-02-13,F9BM,investment_firms,total,396367.0,4157034.0,-3760667.0,38046.0,-101110.0,139156.0,1.97,20.65
2026-02-13,F9BM,compliance_operators,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,F9BM,other_financial,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,F9BM,investment_funds,other,351192.0,93541.0,257651.0,-149272.0,57979.0,-207251.0,1.74,0.46
2026-02-13,F9BM,commercial,other,6699703.0,7332919.0,-633216.0,399419.0,95815.0,303604.0,33.28,36.42
2026-02-13,F9BM,compliance_operators,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,F9BM,commercial,risk_reducing,12364494.0,8533782.0,3830712.0,121463.0,340894.0,-219431.0,61.41,42.39
2026-02-13,F9BM,investment_funds,risk_reducing,47040.0,0.0,47040.0,0.0,0.0,0.0,0.23,0.0
2026-02-13,F9BM,investment_firms,risk_reducing,0.0,160320.0,-160320.0,0.0,0.0,0.0,0.0,0.8
2026-02-13,F9BM,compliance_operators,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,F9BM,commercial,total,19064197.0,15866701.0,3197496.0,520882.0,436709.0,84173.0,94.69,78.81
2026-02-06,F9BM,investment_funds,other,500464.0,35562.0,464902.0,74376.0,31530.0,42846.0,2.54,0.18
2026-02-06,F9BM,compliance_operators,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,F9BM,investment_funds,risk_reducing,47040.0,0.0,47040.0,-3360.0,0.0,-3360.0,0.24,0.0
2026-02-06,F9BM,other_financial,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,F9BM,commercial,risk_reducing,12243031.0,8192888.0,4050143.0,418702.0,8497.0,410205.0,62.07,41.54
2026-02-06,F9BM,compliance_operators,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,F9BM,investment_firms,other,358321.0,4097824.0,-3739503.0,-232212.0,226706.0,-458918.0,1.82,20.78
2026-02-06,F9BM,other_financial,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,F9BM,other_financial,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,F9BM,investment_firms,risk_reducing,0.0,160320.0,-160320.0,0.0,0.0,0.0,0.0,0.81
2026-02-06,F9BM,investment_firms,total,358321.0,4258144.0,-3899823.0,-232212.0,226706.0,-458918.0,1.82,21.59
2026-02-06,F9BM,investment_funds,total,547504.0,35562.0,511942.0,71016.0,31530.0,39486.0,2.78,0.18
2026-02-06,F9BM,compliance_operators,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,F9BM,commercial,total,18543315.0,15429992.0,3113323.0,369423.0,33775.0,335648.0,94.01,78.23
2026-02-06,F9BM,commercial,other,6300284.0,7237104.0,-936820.0,-49279.0,25278.0,-74557.0,31.94,36.69
2026-01-30,F9BM,compliance_operators,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,F9BM,commercial,risk_reducing,11824329.0,8184391.0,3639938.0,-685562.0,-523820.0,-161742.0,60.59,41.94
2026-01-30,F9BM,compliance_operators,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,F9BM,commercial,total,18173892.0,15396217.0,2777675.0,-1189278.0,-772954.0,-416324.0,93.12,78.89
