report_date,contract_code,category,position_type,long,short,net,long_change,short_change,net_change,long_pct,short_pct
2026-07-03,FCBM,investment_firms,risk_reducing,2160.0,5208.0,-3048.0,0.0,0.0,0.0,0.01,0.03
2026-07-03,FCBM,compliance_operators,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,FCBM,other_financial,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,FCBM,investment_firms,other,2111444.0,275023.0,1836421.0,-51830.0,63710.0,-115540.0,13.45,1.75
2026-07-03,FCBM,investment_funds,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,FCBM,other_financial,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,FCBM,compliance_operators,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,FCBM,investment_funds,other,617657.0,111332.0,506325.0,178828.0,10248.0,168580.0,3.93,0.71
2026-07-03,FCBM,commercial,risk_reducing,9754412.0,2122277.0,7632135.0,-186726.0,-66821.0,-119905.0,62.13,13.52
2026-07-03,FCBM,commercial,other,3213797.0,13184190.0,-9970393.0,-284225.0,-360450.0,76225.0,20.47,83.97
2026-07-03,FCBM,compliance_operators,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,FCBM,investment_firms,total,2113604.0,280231.0,1833373.0,-51830.0,63710.0,-115540.0,13.46,1.78
2026-07-03,FCBM,investment_funds,total,617657.0,111332.0,506325.0,178828.0,10248.0,168580.0,3.93,0.71
2026-07-03,FCBM,other_financial,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,FCBM,commercial,total,12968209.0,15306467.0,-2338258.0,-470951.0,-427271.0,-43680.0,82.6,97.49
2026-06-26,FCBM,investment_funds,other,438829.0,101084.0,337745.0,-48743.0,0.0,-48743.0,2.73,0.63
2026-06-26,FCBM,compliance_operators,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,FCBM,investment_firms,risk_reducing,2160.0,5208.0,-3048.0,0.0,-5208.0,5208.0,0.01,0.03
2026-06-26,FCBM,investment_funds,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,FCBM,other_financial,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,FCBM,commercial,risk_reducing,9941138.0,2189098.0,7752040.0,190942.0,-155558.0,346500.0,61.93,13.64
2026-06-26,FCBM,investment_firms,other,2163274.0,211313.0,1951961.0,-222748.0,-258070.0,35322.0,13.48,1.32
2026-06-26,FCBM,investment_funds,total,438829.0,101084.0,337745.0,-48743.0,0.0,-48743.0,2.73,0.63
2026-06-26,FCBM,compliance_operators,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,FCBM,commercial,other,3498022.0,13544640.0,-10046618.0,-662342.0,-324175.0,-338167.0,21.79,84.38
2026-06-26,FCBM,compliance_operators,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,FCBM,investment_firms,total,2165434.0,216521.0,1948913.0,-222748.0,-263278.0,40530.0,13.49,1.35
2026-06-26,FCBM,other_financial,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,FCBM,commercial,total,13439160.0,15733738.0,-2294578.0,-471400.0,-479733.0,8333.0,83.73,98.02
2026-06-26,FCBM,other_financial,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,FCBM,investment_firms,other,2386022.0,469383.0,1916639.0,269356.0,168987.0,100369.0,14.21,2.79
2026-06-19,FCBM,compliance_operators,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,FCBM,investment_funds,other,487572.0,101084.0,386488.0,38042.0,34824.0,3218.0,2.9,0.6
2026-06-19,FCBM,compliance_operators,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,FCBM,other_financial,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
