report_date,contract_code,category,position_type,long,short,net,long_change,short_change,net_change,long_pct,short_pct
2026-04-30,FEUA,investment_funds,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,FEUA,investment_funds,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,FEUA,commercial,other,5746.16,2202.69,3543.47,-1.4,-611.84,610.44,7.19,2.83
2026-04-30,FEUA,other_financial,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,FEUA,commercial,risk_reducing,8743.64,1923.01,6820.629999999999,-409.54,644.25,-1053.79,10.94,2.47
2026-04-30,FEUA,compliance_operators,risk_reducing,36106.0,361.0,35745.0,891.0,5.0,886.0,45.17,0.46
2026-04-30,FEUA,investment_funds,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,FEUA,other_financial,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,FEUA,investment_firms,other,25449.36,70074.65,-44625.28999999999,650.09,-2028.29,2678.38,31.84,90.09
2026-04-30,FEUA,compliance_operators,other,3863.0,2807.0,1056.0,325.0,1299.0,-974.0,4.83,3.61
2026-04-30,FEUA,investment_firms,total,25449.36,70286.65,-44837.28999999999,514.06,-2264.08,2778.14,31.84,90.36
2026-04-30,FEUA,other_financial,total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,FEUA,commercial,total,14489.8,4125.7,10364.099999999999,-410.94,32.41,-443.35,18.13,5.3
2026-04-30,FEUA,compliance_operators,total,39969.0,3168.0,36801.0,1216.0,1304.0,-88.0,50.0,4.07
2026-04-30,FEUA,investment_firms,risk_reducing,0.0,212.0,-212.0,-136.03,-235.79,99.75999999999999,0.0,0.27
2026-04-24,FEUA,investment_firms,risk_reducing,136.03,447.79,-311.76,136.03,241.79,-105.75999999999999,0.17,0.55
2026-04-24,FEUA,investment_funds,risk_reducing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
